Idx,Ratio,Train,Val,Stuff,"Color_Code (R,G,B)",Color_Code(hex),Color,Name,Class_Name (ja),Color_SVG,Color_Description,Color_Emoji
23,0.0067,3296,315,0,"(255, 6, 51)",#FF0633,,painting,絵画,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,6%,51%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
24,0.0065,1191,106,0,"(11, 102, 255)",#0B66FF,,sofa,ソファー,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(11%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
25,0.0061,1516,162,0,"(255, 7, 71)",#FF0747,,shelf,棚,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,7%,71%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
26,0.006,667,69,1,"(255, 9, 224)",#FF09E0,,house,家,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,9%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
27,0.0053,651,57,1,"(9, 7, 230)",#0907E6,,sea,海,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(9%,7%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
28,0.0052,1847,224,0,"(220, 220, 220)",#DCDCDC,,mirror,鏡,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るいグレー,⬜
29,0.0046,1158,128,1,"(255, 9, 92)",#FF095C,,rug,ラグ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,9%,92%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
30,0.0044,480,44,1,"(112, 9, 255)",#7009FF,,field,分野,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,9%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
31,0.0044,1172,98,0,"(8, 255, 214)",#08FFD6,,armchair,アームチェア,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(8%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
32,0.0044,1292,184,0,"(7, 255, 224)",#07FFE0,,seat,シート,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(7%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
33,0.0033,1386,138,0,"(255, 184, 6)",#FFB806,,fence,フェンス,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,6%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
34,0.0031,698,61,0,"(10, 255, 71)",#0AFF47,,desk,机,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(10%,100%,71%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
35,0.003,781,73,0,"(255, 41, 10)",#FF290A,,rock,ロック,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,41%,10%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
36,0.0027,380,43,0,"(7, 255, 255)",#07FFFF,,wardrobe,ワードローブ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(7%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るいグレー,⬜
37,0.0026,3089,302,0,"(224, 255, 8)",#E0FF08,,lamp,ランプ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,8%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
38,0.0024,404,37,0,"(102, 8, 255)",#6608FF,,bathtub,バスタブ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,8%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
39,0.0024,804,99,0,"(255, 61, 6)",#FF3D06,,railing,手すり,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,61%,6%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
40,0.0023,1453,153,0,"(255, 194, 7)",#FFC207,,cushion,クッション,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,7%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
41,0.0023,411,37,0,"(255, 122, 8)",#FF7A08,,base,ベース,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,8%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
42,0.0022,1440,162,0,"(0, 255, 20)",#00FF14,,box,箱,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,20%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
43,0.0022,800,77,0,"(255, 8, 41)",#FF0829,,column,カラム,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,8%,41%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
44,0.002,2650,298,0,"(255, 5, 153)",#FF0599,,signboard,看板,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,5%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
45,0.0019,549,46,0,"(6, 51, 255)",#0633FF,,chest of drawers,引き出しの胸,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(6%,51%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
46,0.0019,367,36,0,"(235, 12, 255)",#EB0CFF,,counter,カウンタ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,12%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
47,0.0018,311,30,1,"(160, 150, 20)",#A09614,,sand,砂,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,20%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",中間赤,🟥
48,0.0018,1181,122,0,"(0, 163, 255)",#00A3FF,,sink,シンク,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
49,0.0018,287,23,1,"(140, 140, 140)",#8C8C8C,,skyscraper,超高層ビル,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",中間グレー,⬜
50,0.0018,468,38,0,"(0250, 10, 15)",#FA0A0F,,fireplace,暖炉,,不明,❓
51,0.0018,402,43,0,"(20, 255, 0)",#14FF00,,refrigerator,冷蔵庫,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(20%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
52,0.0018,130,12,1,"(31, 255, 0)",#1FFF00,,grandstand,グランドスタンド,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(31%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
53,0.0018,561,64,1,"(255, 31, 0)",#FF1F00,,path,パス,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,31%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
54,0.0017,880,102,0,"(255, 224, 0)",#FFE000,,stairs,階段,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
55,0.0017,86,12,1,"(153, 255, 0)",#99FF00,,runway,滑走路,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
56,0.0017,172,11,0,"(0, 0, 255)",#0000FF,,case,場合,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
57,0.0017,198,18,0,"(255, 71, 0)",#FF4700,,pool table,プールテーブル,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,71%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
58,0.0017,930,109,0,"(0, 235, 255)",#00EBFF,,pillow,枕,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
59,0.0015,139,18,0,"(0, 173, 255)",#00ADFF,,screen door,スクリーンドア,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
60,0.0015,564,52,1,"(31, 0, 255)",#1F00FF,,stairway,階段,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(31%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
61,0.0015,320,26,1,"(11, 200, 200)",#0BC8C8,,river,川,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(11%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るいグレー,⬜
62,0.0015,261,29,1,"(255 ,82, 0)",#FF5200,,bridge,橋,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,82%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
63,0.0014,275,22,0,"(0, 255, 245)",#00FFF5,,bookcase,本棚,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
64,0.0014,335,60,0,"(0, 61, 255)",#003DFF,,blind,盲目,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,61%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
65,0.0014,792,75,0,"(0, 255, 112)",#00FF70,,coffee table,コー​​ヒーテーブル,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
